Sr No.,"Date of 
Encashment","Bond
Number",Name of the Political Party,Name of the Purchaser,Denominations,"Account no. of
Political Party","Pay Branch
Code",Pay Teller
10473,12-04-2022,OC11985,Bharat Rashtra Samithi,14 Reels Plus Llp,10000000,*******7477,847,3898296
2766,25-04-2019,TL11448,Bharatiya Janata Party,A B C India Limited,1000000,*******8244,691,3300196
2767,25-04-2019,TL11447,Bharatiya Janata Party,A B C India Limited,1000000,*******8244,691,3300196
2768,25-04-2019,TL11441,Bharatiya Janata Party,A B C India Limited,1000000,*******8244,691,3300196
2807,25-04-2019,OL1113,Bharatiya Janata Party,A B C India Limited,100000,*******8244,691,3300196
2808,25-04-2019,OL1118,Bharatiya Janata Party,A B C India Limited,100000,*******8244,691,3300196
2809,25-04-2019,OL1112,Bharatiya Janata Party,A B C India Limited,100000,*******8244,691,3300196
2810,25-04-2019,OL1115,Bharatiya Janata Party,A B C India Limited,100000,*******8244,691,3300196
2811,25-04-2019,OL1119,Bharatiya Janata Party,A B C India Limited,100000,*******8244,691,3300196
2812,25-04-2019,OL1110,Bharatiya Janata Party,A B C India Limited,100000,*******8244,691,3300196
2813,25-04-2019,OL1111,Bharatiya Janata Party,A B C India Limited,100000,*******8244,691,3300196
2814,25-04-2019,OL1106,Bharatiya Janata Party,A B C India Limited,100000,*******8244,691,3300196
2815,25-04-2019,OL1114,Bharatiya Janata Party,A B C India Limited,100000,*******8244,691,3300196
2816,25-04-2019,OL1117,Bharatiya Janata Party,A B C India Limited,100000,*******8244,691,3300196
9030,13-01-2022,TL14471,"President, All India Congress Committee",Aakanksha Bahety,1000000,*******4012,691,7516991
15385,13-07-2023,OC14616,Bharat Rashtra Samithi,Aalaya Constructions,10000000,*******7477,847,6013147
14171,15-04-2023,OC14477,Ysr Congress Party (Yuvajana Sramika Rythu Congress Party),Aarish Solar Power Private Limited,10000000,*******6354,847,3889823
14172,15-04-2023,OC14452,Ysr Congress Party (Yuvajana Sramika Rythu Congress Party),Aarish Solar Power Private Limited,10000000,*******6354,847,3889823
14192,15-04-2023,OC14542,Ysr Congress Party (Yuvajana Sramika Rythu Congress Party),Aashman Energy Private Limited,10000000,*******6354,847,3889823
10450,12-04-2022,OC12015,Bharat Rashtra Samithi,Aashman Energy Pvt Ltd,10000000,*******7477,847,3898296
10451,12-04-2022,OC12017,Bharat Rashtra Samithi,Aashman Energy Pvt Ltd,10000000,*******7477,847,3898296
11580,14-10-2022,TL13608,Aam Aadmi Party,Aaytee Logistics Private Limited,1000000,*******5086,691,5972302
11581,14-10-2022,TL13610,Aam Aadmi Party,Aaytee Logistics Private Limited,1000000,*******5086,691,5972302
11582,14-10-2022,TL13612,Aam Aadmi Party,Aaytee Logistics Private Limited,1000000,*******5086,691,5972302
6488,12-07-2021,TL12768,"President, All India Congress Committee",Abhay Shukla,1000000,*******4012,691,7516991
6489,12-07-2021,TL12770,"President, All India Congress Committee",Abhay Shukla,1000000,*******4012,691,7516991
6167,13-04-2021,TL8922,All India Trinamool Congress,Abhijit International,1000000,*******0688,1,3476510
6168,13-04-2021,TL8924,All India Trinamool Congress,Abhijit International,1000000,*******0688,1,3476510
6169,13-04-2021,TL8920,All India Trinamool Congress,Abhijit International,1000000,*******0688,1,3476510
6170,13-04-2021,TL8926,All India Trinamool Congress,Abhijit International,1000000,*******0688,1,3476510
6171,13-04-2021,TL8928,All India Trinamool Congress,Abhijit International,1000000,*******0688,1,3476510
14565,17-04-2023,TL2374,"President, All India Congress Committee",Abhijit International,1000000,*******4012,691,5972302
14566,17-04-2023,TL2361,"President, All India Congress Committee",Abhijit International,1000000,*******4012,691,5972302
14567,17-04-2023,TL2367,"President, All India Congress Committee",Abhijit International,1000000,*******4012,691,5972302
14568,17-04-2023,TL2369,"President, All India Congress Committee",Abhijit International,1000000,*******4012,691,5972302
14569,17-04-2023,TL2372,"President, All India Congress Committee",Abhijit International,1000000,*******4012,691,5972302
17494,16-10-2023,OC3555,Bharatiya Janata Party,Abhijit International,10000000,*******8244,691,8212066
17495,16-10-2023,OC3553,Bharatiya Janata Party,Abhijit International,10000000,*******8244,691,8212066
6212,13-04-2021,OC8226,"President, All India Congress Committee",Abhinandanstockbrokingpvtltd,10000000,*******4012,691,7516991
6239,13-04-2021,TL13909,"President, All India Congress Committee",Abhinandanstockbrokingpvtltd,1000000,*******4012,691,7516991
6240,13-04-2021,TL13901,"President, All India Congress Committee",Abhinandanstockbrokingpvtltd,1000000,*******4012,691,7516991
6241,13-04-2021,TL13905,"President, All India Congress Committee",Abhinandanstockbrokingpvtltd,1000000,*******4012,691,7516991
6242,13-04-2021,TL13907,"President, All India Congress Committee",Abhinandanstockbrokingpvtltd,1000000,*******4012,691,7516991
6243,13-04-2021,TL13903,"President, All India Congress Committee",Abhinandanstockbrokingpvtltd,1000000,*******4012,691,7516991
6456,12-07-2021,OC8232,"President, All India Congress Committee",Abhinandanstockbrokingpvtltd,10000000,*******4012,691,3428540
6457,12-07-2021,OC8234,"President, All India Congress Committee",Abhinandanstockbrokingpvtltd,10000000,*******4012,691,7516991
6701,15-07-2021,OC8236,All India Trinamool Congress,Abhinandanstockbrokingpvtltd,10000000,*******0688,1,3480909
6702,15-07-2021,OC8239,All India Trinamool Congress,Abhinandanstockbrokingpvtltd,10000000,*******0688,1,3480909
11443,11-10-2022,TL14826,Biju Janata Dal,Abhinandanstockbrokingpvtltd,1000000,*******4340,41,7409060
11444,11-10-2022,TL14830,Biju Janata Dal,Abhinandanstockbrokingpvtltd,1000000,*******4340,41,7409060
11445,11-10-2022,TL14828,Biju Janata Dal,Abhinandanstockbrokingpvtltd,1000000,*******4340,41,7409060
11446,11-10-2022,TL14824,Biju Janata Dal,Abhinandanstockbrokingpvtltd,1000000,*******4340,41,7409060
11447,11-10-2022,TL14822,Biju Janata Dal,Abhinandanstockbrokingpvtltd,1000000,*******4340,41,7409060
13473,01-02-2023,TL14768,Biju Janata Dal,Abhinandanstockbrokingpvtltd,1000000,*******4340,41,4609514
13474,01-02-2023,TL14766,Biju Janata Dal,Abhinandanstockbrokingpvtltd,1000000,*******4340,41,4609514
13475,01-02-2023,TL14770,Biju Janata Dal,Abhinandanstockbrokingpvtltd,1000000,*******4340,41,4609514
13476,01-02-2023,TL14764,Biju Janata Dal,Abhinandanstockbrokingpvtltd,1000000,*******4340,41,4609514
13477,01-02-2023,TL14762,Biju Janata Dal,Abhinandanstockbrokingpvtltd,1000000,*******4340,41,4609514
13478,01-02-2023,TL14774,Biju Janata Dal,Abhinandanstockbrokingpvtltd,1000000,*******4340,41,4609514
13479,01-02-2023,TL14772,Biju Janata Dal,Abhinandanstockbrokingpvtltd,1000000,*******4340,41,4609514
16066,15-07-2023,TL15258,Bharat Rashtra Samithi,Abhinandanstockbrokingpvtltd,1000000,*******7477,847,6013147
16067,15-07-2023,TL15262,Bharat Rashtra Samithi,Abhinandanstockbrokingpvtltd,1000000,*******7477,847,6013147
16068,15-07-2023,TL15254,Bharat Rashtra Samithi,Abhinandanstockbrokingpvtltd,1000000,*******7477,847,6013147
16069,15-07-2023,TL15266,Bharat Rashtra Samithi,Abhinandanstockbrokingpvtltd,1000000,*******7477,847,6013147
16070,15-07-2023,TL15268,Bharat Rashtra Samithi,Abhinandanstockbrokingpvtltd,1000000,*******7477,847,6013147
16071,15-07-2023,TL15264,Bharat Rashtra Samithi,Abhinandanstockbrokingpvtltd,1000000,*******7477,847,6013147
